category,amount,transaction_id,date
Incoming Money,2000.0,76662021700,
Payments to Code Holders,1000.0,,
Payments to Code Holders,600.0,,
Bank Deposits,40000.0,,
Payments to Code Holders,2000.0,,
Other,10000.0,,
Other,1000.0,,
Payments to Code Holders,2000.0,,
Payments to Code Holders,10900.0,,
Payments to Code Holders,3500.0,,
Payments to Code Holders,1000.0,,
Payments to Code Holders,5000.0,,
Other,1700.0,,
Other,2000.0,,
Bank Deposits,5000.0,,
Other,1800.0,,
Other,2500.0,,
Other,500.0,,
Bank Deposits,5000.0,,
Other,1800.0,,
Incoming Money,25000.0,43668074924,
Other,25000.0,13947831685,
Payments to Code Holders,1600.0,,
Payments to Code Holders,2000.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,1800.0,,
Other,700.0,,
Other,1500.0,,
Payments to Code Holders,1000.0,,
Bank Deposits,5000.0,,
Bank Deposits,5000.0,,
Other,2800.0,,
Other,1300.0,,
Payments to Code Holders,2150.0,,
Other,1500.0,,
Other,1500.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,1500.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,6000.0,,
Incoming Money,1400.0,45738348638,
Other,500.0,,
Payments to Code Holders,1500.0,,
Other,1500.0,,
Bank Deposits,5000.0,,
Other,1000.0,,
Other,1500.0,,
Other,1700.0,,
Bank Deposits,5000.0,,
Other,5000.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,3500.0,,
Payments to Code Holders,1800.0,,
Bank Deposits,5000.0,,
Other,1800.0,,
Payments to Code Holders,1000.0,,
Payments to Code Holders,1500.0,,
Other,1600.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,2000.0,,
Payments to Code Holders,2000.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,2000.0,,
Bank Deposits,5000.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,9300.0,,
Payments to Code Holders,2000.0,,
Payments to Code Holders,1000.0,,
Bank Deposits,25000.0,,
Other,20000.0,14098463509,
Other,1500.0,,
Other,,,
Other,,,
Other,,,
Payments to Code Holders,4000.0,,
Bank Deposits,25000.0,,
Other,,,
Other,25000.0,,
Bank Deposits,10000.0,,
Other,10000.0,,
Other,,,
Bank Deposits,10000.0,,
Payments to Code Holders,8000.0,,
Payments to Code Holders,2000.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,1700.0,,
Other,1500.0,,
Other,,,
Payments to Code Holders,2000.0,,
Bank Deposits,30000.0,,
Other,27000.0,,
Payments to Code Holders,1500.0,,
Incoming Money,200.0,90281203550,
Bank Deposits,15000.0,,
Other,10000.0,,
Other,6000.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,1800.0,,
Other,1200.0,,
Other,1500.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,1700.0,,
Payments to Code Holders,1500.0,,
Other,1000.0,,
Bank Deposits,5000.0,,
Other,1500.0,,
Bank Deposits,5000.0,,
Other,5000.0,,
Payments to Code Holders,4050.0,,
Bank Deposits,15000.0,,
Payments to Code Holders,1000.0,,
Payments to Code Holders,900.0,,
Other,10000.0,,
Payments to Code Holders,1500.0,,
Other,2000.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,2000.0,,
Other,1500.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,3500.0,,
Other,1500.0,,
Bank Deposits,5000.0,,
Other,1500.0,,
Other,1500.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,4800.0,,
Payments to Code Holders,1300.0,,
Payments to Code Holders,1500.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,3500.0,,
Payments to Code Holders,2100.0,,
Bank Deposits,10000.0,,
Other,2000.0,,
Other,3500.0,,
Bank Deposits,21000.0,,
Payments to Code Holders,24500.0,,
Bank Deposits,200000.0,,
Bank Deposits,5000.0,,
Other,200000.0,,
Other,2000.0,,
Payments to Code Holders,600.0,,
Bank Deposits,5000.0,,
Other,2000.0,,
Other,2000.0,,
Other,1500.0,,
Other,600.0,14262449979,
Bank Deposits,5000.0,,
Other,1500.0,,
Payments to Code Holders,800.0,,
Payments to Code Holders,2000.0,,
Bank Deposits,5000.0,,
Other,500.0,,
Incoming Money,12000.0,41002852845,
Other,400.0,,
Other,1000.0,,
Other,1500.0,,
Other,8000.0,,
Other,800.0,,
Payments to Code Holders,2000.0,,
Payments to Code Holders,1000.0,,
Other,2000.0,,
Payments to Code Holders,2000.0,,
Bank Deposits,5000.0,,
Other,1000.0,,
Other,1500.0,,
Other,2000.0,,
Other,500.0,,
Bank Deposits,5000.0,,
Other,1700.0,,
Other,2000.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,3500.0,,
Other,1500.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,1500.0,,
Payments to Code Holders,1500.0,,
Bank Deposits,10000.0,,
Other,500.0,,
Other,5000.0,,
Other,1000.0,,
Payments to Code Holders,800.0,,
Payments to Code Holders,1000.0,,
Payments to Code Holders,1600.0,,
Other,1000.0,,
Other,1800.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,1500.0,,
Other,1700.0,,
Bank Deposits,10000.0,,
Other,7000.0,,
Bank Deposits,25000.0,,
Other,25000.0,14366722236,
Payments to Code Holders,2000.0,,
Payments to Code Holders,1800.0,,
Bank Deposits,5000.0,,
Payments to Code Holders,2500.0,,
Payments to Code Holders,1500.0,,
Bank Deposits,15000.0,,
Other,10000.0,,
Payments to Code Holders,1800.0,,
Other,200.0,,
